Brand,Generic,Interactions
Alavert,Loratadine,"Drowsiness, dizziness; increased risk for overdose"
Atarax,Hydroxyzine,"Drowsiness, dizziness; increased risk for overdose"
Benadryl,Diphenhydramine,"Drowsiness, dizziness; increased risk for overdose"
Clarinex,Desloratadine,"Drowsiness, dizziness; increased risk for overdose"
Claritin,Loratadine,"Drowsiness, dizziness; increased risk for overdose"
Claritin-D,Loratadine,"Drowsiness, dizziness; increased risk for overdose"
Dimetapp Cold & Allergy,Brompheniramine,"Drowsiness, dizziness; increased risk for overdose"
Sudafed Sinus & Allergy,Chlorpheniramine,"Drowsiness, dizziness; increased risk for overdose"
Triaminic Cold & Allergy,Chlorpheniramine,"Drowsiness, dizziness; increased risk for overdose"
Tylenol Allergy Sinus,Chlorpheniramine,"Drowsiness, dizziness; increased risk for overdose"
Tylenol Cold & Flu,Chlorpheniramine,"Drowsiness, dizziness; increased risk for overdose"
Zyrtec,Cetirizine,"Drowsiness, dizziness; increased risk for overdose"
Isordil,Isosorbide Nitroglycerin,"Rapid heartbeat, sudden changes in blood pressure, dizziness, fainting"
Ativan,Lorazepam,"Drowsiness, dizziness; increased risk for overdose; slowed or difficulty breathing; impaired motor control; unusual behavior; memory problems"
BuSpar,Buspirone,"Drowsiness, dizziness; increased risk for overdose; slowed or difficulty breathing; impaired motor control; unusual behavior; memory problems"
Klonopin,Clonazepam,"Drowsiness, dizziness; increased risk for overdose; slowed or difficulty breathing; impaired motor control; unusual behavior; memory problems"
Librium,Chlordiazepoxide,"Drowsiness, dizziness; increased risk for overdose; slowed or difficulty breathing; impaired motor control; unusual behavior; memory problems"
Paxil,Paroxetine,"Drowsiness, dizziness; increased risk for overdose; slowed or difficulty breathing; impaired motor control; unusual behavior; memory problems"
Valium,Diazepam,"Drowsiness, dizziness; increased risk for overdose; slowed or difficulty breathing; impaired motor control; unusual behavior; memory problems"
Xanax,Alprazolam,"Drowsiness, dizziness; increased risk for overdose; slowed or difficulty breathing; impaired motor control; unusual behavior; memory problems"
Herbal preparations (Kava Kava),N/A,"Liver damage, drowsiness"
Celebrex,Celecoxib,"Ulcers, stomach bleeding, liver damage"
Naprosyn,Naproxen,"Ulcers, stomach bleeding, liver damage"
Voltaren,Diclofenac,"Ulcers, stomach bleeding, liver damage"
Adderall,Amphetamine/dextro-amphetamine,Possible increased risk for heart problems
Concerta,Methylphenidate,"Dizziness, drowsiness, impaired concentration"
Ritalin,Methylphenidate,"Dizziness, drowsiness, impaired concentration"
Dexedrine,Dextroamphetamine,Possible increased risk for heart problems
Focalin,Dexmethylphenidate,"Dizziness, drowsiness, impaired concentration"
Strattera,Atomoxetine,liver damage
Vyvanse,Lisdexamfetamine,Possible increased risk for heart problems
Coumadin,Warfarin,"Occasional drinking may lead to internal bleeding; heavier drinking also may cause bleeding or may have the opposite effect, resulting in possible blood clots, strokes, or heart attacks"
Delsym,Dextromethorpan,"Drowsiness, dizziness; increased risk for overdose"
Robitussin Cough,Dextromethorpan,"Drowsiness, dizziness; increased risk for overdose"
Robitussin A–C,Guaifenesin + codeine,"Drowsiness, dizziness; increased risk for overdose"
Abilify,Aripriprazone,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Anafranil,Clomipramine,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Celexa,Citalopram,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Clozaril,Clozapine,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Cymbalta,Duloxetine,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Desyrel,Trazodone,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Effexor,Venlafaxine,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Elavil,Amitriptyline,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Geodon,Ziprasidone,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Invega,Paliperidone,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Lexapro,Escitalopram,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Luvox,Fluvoxamine,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Nardil,Phenelzine,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessnessMonoamine oxidase inhibitors (MAOIs), such as tranylcypromine and phenelzine, when combined with alcohol, may result in serious heartrelated side effects. Risk for dangerously high blood pressure is increased when MAOIs are mixed with tyramine, a byproduct found in beer and red wine"
Norpramin,Desipramine,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Parnate,Tranylcypromine,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessnessMonoamine oxidase inhibitors (MAOIs), such as tranylcypromine and phenelzine, when combined with alcohol, may result in serious heartrelated side effects. Risk for dangerously high blood pressure is increased when MAOIs are mixed with tyramine, a byproduct found in beer and red wine"
Paxil,Paroxetine,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Pristiq,Desevenlafaxine,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Prozac,Fluoxetine,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Remeron,Mirtazapine,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Risperdal,Risperidone,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Seroquel,Quetiapine,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Serzone,Nefazodone,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Symbyax,Fluoxetine/Olanzapine,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Wellbutrin,Bupropion,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Zoloft,Sertraline,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Zyprexa,Olanzapine,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Herbal preparations (St. John’s Wort),N/A,"Drowsiness, dizziness; increased risk for overdose; increased feelings of depression or hopelessness"
Diabinese,Chlorpropamide,"Abnormally low blood sugar levels, flushing reaction(nausea, vomiting, headache, rapid heartbeat, sudden changes in blood pressure)"
Glucotrol,Glipizide,"Abnormally low blood sugar levels, flushing reaction(nausea, vomiting, headache, rapid heartbeat, sudden changes in blood pressure)"
Glucophage,Metformin,"Abnormally low blood sugar levels, flushing reaction(nausea, vomiting, headache, rapid heartbeat, sudden changes in blood pressure), symptoms of nausea and weakness may occur"
Glynase,Glyburide,"Abnormally low blood sugar levels, flushing reaction(nausea, vomiting, headache, rapid heartbeat, sudden changes in blood pressure)"
DiaBeta,Glyburide,"Abnormally low blood sugar levels, flushing reaction(nausea, vomiting, headache, rapid heartbeat, sudden changes in blood pressure)"
Micronase,Glyburide,"Abnormally low blood sugar levels, flushing reaction(nausea, vomiting, headache, rapid heartbeat, sudden changes in blood pressure)"
Orinase,Tolbutamide,"Abnormally low blood sugar levels, flushing reaction(nausea, vomiting, headache, rapid heartbeat, sudden changes in blood pressure)"
Tolinase,Tolazamide,"Abnormally low blood sugar levels, flushing reaction(nausea, vomiting, headache, rapid heartbeat, sudden changes in blood pressure)"
Cardura,Doxazosin,"Dizziness, light headedness, fainting"
Flomax,Tamsulosin,"Dizziness, light headedness, fainting"
Hytrin,Terazosin,"Dizziness, light headedness, fainting"
Minipress,Prazosin,"Dizziness, light headedness, fainting"
Axid,Nizatidine,Rapid heartbeat; increased alcohol effect
Reglan,Metoclopramide,"Rapid heartbeat; increased alcohol effect, sudden changes in blood pressure"
Tagamet,Cimetidine,Rapid heartbeat; increased alcohol effect
Zantac,Ranitidine,Rapid heartbeat; increased alcohol effect
Accupril,Quinapril,"Dizziness, fainting, drowsiness; heart problems such as changes in the heart’s regular heartbeat (arrhythmia)"
Calan,Verapamil,"Dizziness, fainting, drowsiness; heart problems such as changes in the heart’s regular heartbeat (arrhythmia)"
Capozide,Hydrochlorothiazide,"Dizziness, fainting, drowsiness; heart problems such as changes in the heart’s regular heartbeat (arrhythmia)"
Cardura,Doxazosin,"Dizziness, fainting, drowsiness; heart problems such as changes in the heart’s regular heartbeat (arrhythmia)"
Catapres,Clonidine,"Dizziness, fainting, drowsiness; heart problems such as changes in the heart’s regular heartbeat (arrhythmia)"
Cozaar,Losartan,"Dizziness, fainting, drowsiness; heart problems such as changes in the heart’s regular heartbeat (arrhythmia)"
Hytrin,Terazosin,"Dizziness, fainting, drowsiness; heart problems such as changes in the heart’s regular heartbeat (arrhythmia)"
Lopressor HCT,Hydrochlorothiazide,"Dizziness, fainting, drowsiness; heart problems such as changes in the heart’s regular heartbeat (arrhythmia)"
Lotensin,Benzapril,"Dizziness, fainting, drowsiness; heart problems such as changes in the heart’s regular heartbeat (arrhythmia)"
Minipress,Prazosin,"Dizziness, fainting, drowsiness; heart problems such as changes in the heart’s regular heartbeat (arrhythmia)"
Norvasc,Amlodipine,"Dizziness, fainting, drowsiness; heart problems such as changes in the heart’s regular heartbeat (arrhythmia)"
Prinivil,Mesylate Lisinopril,"Dizziness, fainting, drowsiness; heart problems such as changes in the heart’s regular heartbeat (arrhythmia)"
Zestril,Mesylate Lisinopril,"Dizziness, fainting, drowsiness; heart problems such as changes in the heart’s regular heartbeat (arrhythmia)"
Vaseretic,Enalapril,"Dizziness, fainting, drowsiness; heart problems such as changes in the heart’s regular heartbeat (arrhythmia)"
Advicor,Lovastatin + Niacin,Liver damage
Altocor,Lovastatin,Liver damage
Crestor,Rosuvastatin,Liver damage
Lipitor,Atorvastatin,Liver damage
Mevacor,Lovastatin,Liver damage
Niaspan,Niacin,"Liver damage, increased flushing and itching"
Pravachol,Pravastatin,Liver damage
Pravigard,Pravastatin + Aspirin,"Liver damage, increased stomach bleeding"
Vytorin,Ezetimibe + Simvastatin,Liver damage
Zocor,Simvastatin,Liver damage
Acrodantin,Nitrofurantoin,"Fast heartbeat, sudden changes in blood pressure; stomach pain, upset stomach, vomiting, headache, or flushing or redness of the face"
Flagyl,Metronidazole,"Fast heartbeat, sudden changes in blood pressure; stomach pain, upset stomach, vomiting, headache, or flushing or redness of the face"
Grisactin,Griseofulvin,"Fast heartbeat, sudden changes in blood pressure; stomach pain, upset stomach, vomiting, headache, or flushing or redness of the face"
